origin,h,S,log_w
2017-07,1,0.00012276073442875693,-9.175857560511538
2017-07,2,0.0005436872286842297,-24.068440865050857
2017-07,3,0.0008217891442814313,-23.925529799265366
2017-07,4,0.001866454847148701,-2030.1969046534984
2017-07,5,0.003180156917627017,-3475.2553284809414
2017-07,6,0.003260085506142601,-4323.164805218773
2017-07,7,0.0031756585617995136,-5007.2366934427155
2017-07,8,0.0028324550854715415,-5335.141280947759
2017-07,9,0.002562671568302051,-5590.992702921087
2017-07,10,0.002066091713834789,-5738.587834494002
2017-07,11,0.0017540135897154757,-5886.366851813841
2017-07,12,0.0016855038994699496,-6014.0429590993435
2017-08,1,0.0004189807817290975,-11.776229285605506
2017-08,2,0.0007499925397762954,-23.56944796865229
2017-08,3,0.0018543543664139642,-24.13870056409294
2017-08,4,0.0031645481026884095,-2030.1569383849608
2017-08,5,0.003243961230906438,-3507.363244708051
2017-08,6,0.0031692815418007366,-4380.097931848327
2017-08,7,0.0028336505019467073,-5042.19326431473
2017-08,8,0.002563729481293346,-5385.765452366749
2017-08,9,0.0020722629191513176,-5640.742383158847
2017-08,10,0.001759471690123293,-5809.864752088551
2017-08,11,0.0016918488928504768,-5937.540859374053
2017-08,12,0.0015082070186043482,-6085.869712835114
2017-09,1,0.0003559617289154689,-9.032946494726048
2017-09,2,0.0015538189304081873,-18.333592363481344
2017-09,3,0.002964229507794012,-18.64970792555672
2017-09,4,0.0030451820091115947,-2062.513137531881
2017-09,5,0.0029702709237396825,-3572.3784545309036
2017-09,6,0.0026551229996367182,-4420.287931268735
2017-09,7,0.002398839348269871,-5104.4603372331485
2017-09,8,0.001915217591124339,-5447.158034103936
2017-09,9,0.0016044769744767541,-5730.071675203858
2017-09,10,0.001537982909358586,-5877.666806776773
2017-09,11,0.0013561860384595425,-6025.995660237834
2017-09,12,0.0014276776533180902,-6174.06166843842
2017-10,1,0.001206938433628399,-6.896455511047629
2017-10,2,0.0026966413394966388,-15.94396434643765
2017-10,3,0.002869952485168332,-17.072761310209657
2017-10,4,0.002804123914145323,-2099.2925108822756
2017-10,5,0.002495983133408549,-3576.498817205366
2017-10,6,0.0022429168812377297,-4449.334022086113
2017-10,7,0.0017743524507868305,-5132.631936869296
2017-10,8,0.001464732622988782,-5507.539326015264
2017-10,9,0.001399380977939289,-5762.516256807362
2017-10,10,0.0012187524090278064,-5932.188461878288
2017-10,11,0.0012891213526061394,-6080.254470078874
2017-10,12,0.0013452075770450204,-6238.909696627714
2017-11,1,0.0015494545915186167,-6.643318477682352
2017-11,2,0.0018095217929046756,-13.29877223925132
2017-11,3,0.001870273895708728,-15.751378785005137
2017-11,4,0.0016169248268592326,-2059.6148083913295
2017-11,5,0.0013661338024902464,-3569.580643130823
2017-11,6,0.0009139484272722639,-4441.541356830339
2017-11,7,0.000613654419485658,-5169.867909790773
2017-11,8,0.0005495366505977612,-5512.565606661561
2017-11,9,0.0003705824475831567,-5796.029083902705
2017-11,10,0.0004411817605357209,-5965.438443713157
2017-11,11,0.0004989171304706948,-6124.0936702619965
2017-11,12,0.0006837590296350539,-6272.422523723058
2017-12,1,0.0003379153718137944,-4.6073452344743755
2017-12,2,0.0005150040271683226,-9.381872102507522
2017-12,3,0.0004510062493741024,-10.510669066279531
2017-12,4,0.0003542251513847577,-2092.830936378816
2017-12,5,3.201929665478699e-05,-3601.922279937079
2017-12,6,0.0003243487838959693,-4524.6089411036555
2017-12,7,0.0003743955831475394,-5207.9068558868385
2017-12,8,0.0005503571433710967,-5583.364081174029
2017-12,9,0.0004800682404190286,-5866.564713154698
2017-12,10,0.0004215812081576264,-6047.27545497463
2017-12,11,0.00024030091551785742,-6195.604308435691
2017-12,12,0.00015783887101140058,-6343.837498269836
2018-01,1,0.00017290444493331478,-3.082500171551624
2018-01,2,0.0001551177235136307,-9.737953933120593
2018-01,3,0.00015991194355513463,-12.291078219344882
2018-01,4,0.0001554448339607063,-2093.7368543506514
2018-01,5,0.00039104612358684555,-3669.2217459229496
2018-01,6,0.0004140995211560595,-4541.182459622466
2018-01,7,0.000580433056345149,-5270.058848724122
2018-01,8,0.0005110329535187039,-5645.253228750838
2018-01,9,0.0004519929787593236,-5942.959979216505
2018-01,10,0.00027350632517562316,-6112.632184287431
2018-01,11,0.00018790113391489466,-6260.865374121577
2018-01,12,0.00010941032649161055,-6399.0301820148625
2018-02,1,1.8381617004251116e-05,-4.6073452344743755
2018-02,2,6.036684130893491e-06,-9.482389842977994
2018-02,3,0.0001581591852798988,-11.161022947972032
2018-02,4,0.00034033043353426124,-2170.3949656729314
2018-02,5,0.0003388901199573016,-3679.4863092311944
2018-02,6,0.0004923745891178945,-4602.722806538994
2018-02,7,0.0004167636374629658,-5331.336350380176
2018-02,8,0.0003570957132224776,-5723.173339875568
2018-02,9,0.00018146041452238998,-6006.636817116711
2018-02,10,9.726649301890818e-05,-6176.213358560722
2018-02,11,1.80892664322441e-05,-6314.378166454007
2018-02,12,0.00018802298358809588,-6442.05427373951
2018-03,1,2.2790607233859513e-05,-3.183017912022096
2018-03,2,0.00010922383007914635,-7.183571339295463
2018-03,3,0.00016673930500933978,-12.585350270424343
2018-03,4,0.00012397965977316554,-2094.031126401731
2018-03,5,0.0002674836878699318,-3670.065854115251
2018-03,6,0.0001896318790960581,-4593.039506162575
2018-03,7,0.00013116170207842868,-5344.705132423468
2018-03,8,4.1922693107060253e-05,-5720.162357710658
2018-03,9,0.00012557528187836457,-6003.530171324886
2018-03,10,0.00020551344874490934,-6162.3261671668115
2018-03,11,0.00040714457793766725,-6290.002274452314
2018-03,12,0.00023841923144534132,-6438.331127913375
2018-04,1,0.00013067880381142233,-2.3085267307918436
2018-04,2,0.00014402434682534142,-3.6227530331647313
2018-04,3,1.2808399724036426e-05,-5.301386138158769
2018-04,4,0.0001223041616120737,-2165.08516500434
2018-04,5,4.3105432739690315e-05,-3740.8570474573858
